HP:0000563	D007640
HP:0000619	D015835
HP:0000872	D050031
HP:0007302	D001714
HP:0005368	D003449,D000361,D006942,D008258,D017098
HP:0011844	D000071378,D006617,D006215,D006618
HP:0025487	D001746
HP:0008843	D015207
HP:0001892	D002543,D008595,D020300
HP:0000202	D002972,D002971
HP:0011915	D061205
HP:0000853	D006042
HP:0006705	D008945
HP:0000069	D014718
HP:0410240	D017098
HP:0007359	D004828,D012640
HP:0040160	D010024
HP:0009726	D007680,D002292,D009396
HP:0000939	D010024
HP:0003019	D010020
HP:0100634	D002276,D018358
HP:0000639	D009759
HP:0002071	D020734,D001480
HP:0011830	D019226,D010518,D005882,D010510,D005891
HP:0004377	D010954,D015470,D015451,D019337,D008232,D009101,D008228,D009196,D015464,D008258,D008223,D006689,D007938,D016399
HP:0000478	D015862,D006956,D009759,D005124,D015835,D002825,D012607,D001251,D009898,D012164,D014605,D002386,D004948,D015354,D005901,D008269,D000550,D014786,D005128,D012163,D007640,D009216,D013285,D007905
